policy_number,effective_date,broker_fee,commission,broker,policy_type,carrier,expiration_date,broker_fee_amount,commission_amount,source_file,broker_email,status,premium
2114408,2024-07-30,$300.00,$0.00,mark@jmgia.com,Workers Compensation,Texas Mutual,2025-07-30,300.0,0.0,Sales Epay 2024 - Sheet1.csv,mark@jmgia.com,Active,0.0
2099216,2024-08-01,$300.00,$0.00,randall@jmgia.com,Workers Compensation,Texas Mutual,2025-08-01,300.0,0.0,Sales Epay 2024 - Sheet1.csv,randall@jmgia.com,Active,0.0
2050542,2024-08-01,$300.00,$0.00,randall@jmgia.com,Workers Compensation,Texas Mutual,2025-08-01,300.0,0.0,Sales Epay 2024 - Sheet1.csv,randall@jmgia.com,Active,0.0
972075204,2024-08-02,$300.00,$0.00,mike@jmgia.com,Commercial Auto,Progressive,2025-08-02,300.0,0.0,Sales Epay 2024 - Sheet1.csv,mike@jmgia.com,Active,0.0
2065798,2024-08-05,$299.02,$0.00,mike@jmgia.com,Workers Compensation,Texas Mutual,2025-08-05,299.02,0.0,Sales Epay 2024 - Sheet1.csv,mike@jmgia.com,Active,0.0
984948440,2024-08-05,$300.00,$0.00,justin@jmgia.com,Commercial Auto,Progressive,2025-08-05,300.0,0.0,Sales Epay 2024 - Sheet1.csv,justin@jmgia.com,Active,0.0
2098461,2024-08-06,$300.00,$0.00,randall@jmgia.com,Workers Compensation,Texas Mutual,2025-08-06,300.0,0.0,Sales Epay 2024 - Sheet1.csv,randall@jmgia.com,Active,0.0
2065756,2024-08-07,$300.00,$0.00,randall@jmgia.com,Workers Compensation,Texas Mutual,2025-08-07,300.0,0.0,Sales Epay 2024 - Sheet1.csv,randall@jmgia.com,Active,0.0
7901197048,2024-08-07,$130.00,$0.00,adrian@jmgia.com,Bond,Propeller,2025-08-07,130.0,0.0,Sales Epay 2024 - Sheet1.csv,adrian@jmgia.com,Active,0.0
2097500,2024-08-07,$300.00,$0.00,randall@jmgia.com,Workers Compensation,Texas Mutual,2025-08-07,300.0,0.0,Sales Epay 2024 - Sheet1.csv,randall@jmgia.com,Active,0.0
0100317369-0,2024-08-07,$500.00,$500.00,mike@jmgia.com,Excess,Appalachian Insurance Company,2025-08-07,500.0,0.0,Sales Epay 2024 - Sheet1.csv,mike@jmgia.com,Active,0.0
985262303,2024-08-12,$400.00,$0.00,randall@jmgia.com,Commercial Auto,Progressive,2025-08-12,400.0,0.0,Sales Epay 2024 - Sheet1.csv,randall@jmgia.com,Active,0.0
67159523,2024-08-13,$188.00,$35.00,randall@jmgia.com,Bond,Simple Bonds,2025-08-13,188.0,0.0,Sales Epay 2024 - Sheet1.csv,randall@jmgia.com,Active,0.0
0100318661-0,2024-08-16,$397.00,$367.50,mike@jmgia.com,General Liability,ISC Insurance,2025-08-16,397.0,0.0,Sales Epay 2024 - Sheet1.csv,mike@jmgia.com,Active,0.0
972657817,2024-08-16,$300.00,$0.00,randall@jmgia.com,Commercial Auto,Progressive,2025-08-16,300.0,0.0,Sales Epay 2024 - Sheet1.csv,randall@jmgia.com,Active,0.0
972923689,2024-08-20,$300.00,$0.00,randall@jmgia.com,Commercial Auto,Progressive,2025-08-20,300.0,0.0,Sales Epay 2024 - Sheet1.csv,randall@jmgia.com,Active,0.0
2099561,2024-08-20,$300.00,$0.00,randall@jmgia.com,Workers Compensation,Texas Mutual,2025-08-20,300.0,0.0,Sales Epay 2024 - Sheet1.csv,randall@jmgia.com,Active,0.0
972820951,2024-08-21,$300.00,$0.00,randall@jmgia.com,Commercial Auto,Progressive,2025-08-21,300.0,0.0,Sales Epay 2024 - Sheet1.csv,randall@jmgia.com,Active,0.0
985723077,2024-08-22,$400.00,$0.00,mike@jmgia.com,Commercial Auto,Bolt Insurance,2025-08-22,400.0,0.0,Sales Epay 2024 - Sheet1.csv,mike@jmgia.com,Active,0.0
972983369,2024-08-22,$300.00,$0.00,randall@jmgia.com,Commercial Auto,Progressive,2025-08-22,300.0,0.0,Sales Epay 2024 - Sheet1.csv,randall@jmgia.com,Active,0.0
0100319503-0,2024-08-22,$397.00,$350.00,mike@jmgia.com,Excess,ISC Insurance,2025-08-22,397.0,0.0,Sales Epay 2024 - Sheet1.csv,mike@jmgia.com,Active,0.0
0100320318-0,2024-08-26,$497.00,$367.50,mike@jmgia.com,General Liability,ISC Insurance,2025-08-26,497.0,0.0,Sales Epay 2024 - Sheet1.csv,mike@jmgia.com,Active,0.0
2052484,2024-08-26,$300.00,$0.00,randall@jmgia.com,Workers Compensation,Texas Mutual,2025-08-26,300.0,0.0,Sales Epay 2024 - Sheet1.csv,randall@jmgia.com,Active,0.0
2099132,2024-08-27,$300.00,$0.00,randall@jmgia.com,Workers Compensation,Texas Mutual,2025-08-27,300.0,0.0,Sales Epay 2024 - Sheet1.csv,randall@jmgia.com,Active,0.0
0100322930-0,2024-09-10,$696.90,$600.00,mike@jmgia.com,General Liability,ISC Insurance,2025-09-10,696.9,0.0,Sales Epay 2024 - Sheet1.csv,mike@jmgia.com,Active,0.0
2099255,2024-09-11,$300.13,$0.00,chelsea@jmgia.com,Workers Compensation,Texas Mutual,2025-09-11,300.13,0.0,Sales Epay 2024 - Sheet1.csv,chelsea@jmgia.com,Active,0.0
67058660,2024-09-13,$200.00,$18.00,randall@jmgia.com,Bond,Simple Bonds,2025-09-13,200.0,0.0,Sales Epay 2024 - Sheet1.csv,randall@jmgia.com,Active,0.0
987328100,2024-09-17,$300.00,$0.00,eduardo@jmgia.com,Commercial Auto,Progressive,2025-09-17,300.0,0.0,Sales Epay 2024 - Sheet1.csv,eduardo@jmgia.com,Active,0.0
0100324109-0,2024-09-17,$725.00,$525.00,mark@jmgia.com,General Liability,Appalachian Insurance Company,2025-09-17,725.0,0.0,Sales Epay 2024 - Sheet1.csv,mark@jmgia.com,Active,0.0
0100324585-0,2024-09-19,$472.00,"$1,150.00",mike@jmgia.com,General Liability,ISC Insurance,2025-09-19,472.0,0.0,Sales Epay 2024 - Sheet1.csv,mike@jmgia.com,Active,0.0
2101069,2024-09-25,$300.00,$0.00,randall@jmgia.com,Workers Compensation,Texas Mutual,2025-09-25,300.0,0.0,Sales Epay 2024 - Sheet1.csv,randall@jmgia.com,Active,0.0
448496,2024-09-26,$500.00,$0.00,mike@jmgia.com,Workers Compensation,KEMI,2025-09-26,500.0,0.0,Sales Epay 2024 - Sheet1.csv,mike@jmgia.com,Active,0.0
0100325630-0,2024-09-26,$747.00,$650.00,mike@jmgia.com,Excess,ISC Insurance,2025-09-26,747.0,0.0,Sales Epay 2024 - Sheet1.csv,mike@jmgia.com,Active,0.0
67207047,2024-09-27,$150.00,$18.00,eduardo@jmgia.com,Bond,Simple Bonds,2025-09-27,150.0,0.0,Sales Epay 2024 - Sheet1.csv,eduardo@jmgia.com,Active,0.0
0100325962-0,2024-09-27,$997.00,$920.00,mark@jmgia.com,General Liability,ISC Insurance,2025-09-27,997.0,0.0,Sales Epay 2024 - Sheet1.csv,mark@jmgia.com,Active,0.0
0100327747-0,2024-09-27,$600.00,$525.00,mark@jmgia.com,General Liability,Appalachian Insurance Company,2025-09-27,600.0,0.0,Sales Epay 2024 - Sheet1.csv,mark@jmgia.com,Active,0.0
2066805,2024-09-30,$299.64,$0.00,randall@jmgia.com,Workers Compensation,Texas Mutual,2025-09-30,299.64,0.0,Sales Epay 2024 - Sheet1.csv,randall@jmgia.com,Active,0.0
987557520,2024-10-01,$700.00,$0.00,mike@jmgia.com,Commercial Auto,Progressive,2025-10-01,700.0,0.0,Sales Epay 2024 - Sheet1.csv,mike@jmgia.com,Active,0.0
7901215567,2024-10-01,$100.00,$0.00,cara@jmgia.com,Bond,Propeller,2025-10-01,100.0,0.0,Sales Epay 2024 - Sheet1.csv,cara@jmgia.com,Active,0.0
987577937,2024-10-01,$500.00,$0.00,mike@jmgia.com,Commercial Auto,Progressive,2025-10-01,500.0,0.0,Sales Epay 2024 - Sheet1.csv,mike@jmgia.com,Active,0.0
0100326902-0,2024-10-02,$399.70,$210.00,mike@jmgia.com,General Liability,Appalachian Insurance Company,2025-10-02,399.7,0.0,Sales Epay 2024 - Sheet1.csv,mike@jmgia.com,Active,0.0
987823078,2024-10-06,$400.00,$0.00,mike@jmgia.com,Commercial Auto,Progressive,2025-10-06,400.0,0.0,Sales Epay 2024 - Sheet1.csv,mike@jmgia.com,Active,0.0
0100328341-0,2024-10-07,"$1,200.00",$725.00,clint@jmgia.com,General Liability,Appalachian Insurance Company,2025-10-07,1200.0,0.0,Sales Epay 2024 - Sheet1.csv,clint@jmgia.com,Active,0.0
2054171,2024-10-15,$300.00,$0.00,randall@jmgia.com,Workers Compensation,Texas Mutual,2025-10-15,300.0,0.0,Sales Epay 2024 - Sheet1.csv,randall@jmgia.com,Active,0.0
0100329545-0,2024-10-15,"$1,237.50",$500.00,mark@jmgia.com,General Liability,ISC Insurance,2025-10-15,1237.5,0.0,Sales Epay 2024 - Sheet1.csv,mark@jmgia.com,Active,0.0
0100329616-0,2024-10-15,$347.00,$175.00,mark@jmgia.com,Excess,ISC Insurance,2025-10-15,347.0,0.0,Sales Epay 2024 - Sheet1.csv,mark@jmgia.com,Active,0.0
988666614,2024-10-22,$250.00,$0.00,eduardo@jmgia.com,Commercial Auto,Progressive,2025-10-22,250.0,0.0,Sales Epay 2024 - Sheet1.csv,eduardo@jmgia.com,Active,0.0
6106625,2024-10-22,$700.00,$0.00,mike@jmgia.com,Workers Compensation,Appalachian Insurance Company,2025-10-22,700.0,0.0,Sales Epay 2024 - Sheet1.csv,mike@jmgia.com,Active,0.0
101307768,2024-10-23,$200.00,$90.00,brennan@jmgia.com,Bond,Simple Bonds,2025-10-23,200.0,0.0,Sales Epay 2024 - Sheet1.csv,brennan@jmgia.com,Active,0.0
100811961,2024-10-23,$100.00,$33.75,chelsea@jmgia.com,Bond,Simple Bonds,2025-10-23,100.0,0.0,Sales Epay 2024 - Sheet1.csv,chelsea@jmgia.com,Active,0.0
7901222531,2024-10-25,$200.00,$0.00,eduardo@jmgia.com,Bond,Propeller,2025-10-25,200.0,0.0,Sales Epay 2024 - Sheet1.csv,eduardo@jmgia.com,Active,0.0
7901222543,2024-10-25,$200.00,$0.00,eduardo@jmgia.com,Bond,Propeller,2025-10-25,200.0,0.0,Sales Epay 2024 - Sheet1.csv,eduardo@jmgia.com,Active,0.0
9369295-24,2024-10-25,$300.00,$0.00,mark@jmgia.com,Workers Compensation,AmWINS,2025-10-25,300.0,0.0,Sales Epay 2024 - Sheet1.csv,mark@jmgia.com,Active,0.0
988761147,2024-10-30,"$1,200.00",$0.00,cara@jmgia.com,Commercial Auto,Progressive,2025-10-30,1200.0,0.0,Sales Epay 2024 - Sheet1.csv,cara@jmgia.com,Active,0.0
988787056,2024-10-30,$600.00,$0.00,mike@jmgia.com,Commercial Auto,Progressive,2025-10-30,600.0,0.0,Sales Epay 2024 - Sheet1.csv,mike@jmgia.com,Active,0.0
0100332482-0,2024-10-31,$397.00,$880.80,mike@jmgia.com,Excess,Kinsale Insurance Company,2025-10-31,397.0,0.0,Sales Epay 2024 - Sheet1.csv,mike@jmgia.com,Active,0.0
7039062293,2024-11-01,$300.00,$0.00,anthony@jmgia.com,Workers Compensation,Btis,2025-11-01,300.0,0.0,Sales Epay 2024 - Sheet1.csv,anthony@jmgia.com,Active,0.0
0100333093-0,2024-11-04,$500.00,$350.00,cara@jmgia.com,General Liability,Appalachian Insurance Company,2025-11-04,500.0,0.0,Sales Epay 2024 - Sheet1.csv,cara@jmgia.com,Active,0.0
0100333605-0,2024-11-04,$200.00,$150.00,cara@jmgia.com,Excess,Appalachian Insurance Company,2025-11-04,200.0,0.0,Sales Epay 2024 - Sheet1.csv,cara@jmgia.com,Active,0.0
1000627754241,2024-11-05,$300.00,$324.00,mike@jmgia.com,General Liability,Btis,2025-11-05,300.0,0.0,Sales Epay 2024 - Sheet1.csv,mike@jmgia.com,Active,0.0
1000627755241,2024-11-05,$850.00,$0.00,eduardo@jmgia.com,General Liability,Btis,2025-11-05,850.0,0.0,Sales Epay 2024 - Sheet1.csv,eduardo@jmgia.com,Active,0.0
989097962,2024-11-06,$500.00,$0.00,cara@jmgia.com,Commercial Auto,Progressive,2025-11-06,500.0,0.0,Sales Epay 2024 - Sheet1.csv,cara@jmgia.com,Active,0.0
989433052,2024-11-14,"$1,149.99",$0.00,eduardo@jmgia.com,Commercial Auto,Progressive,2025-11-14,1149.99,0.0,Sales Epay 2024 - Sheet1.csv,eduardo@jmgia.com,Active,0.0
0100336056-0,2024-11-15,$500.00,$500.00,mike@jmgia.com,Workers Compensation,Appalachian Insurance Company,2025-11-15,500.0,0.0,Sales Epay 2024 - Sheet1.csv,mike@jmgia.com,Active,0.0
2024098,2024-11-15,$300.00,$0.00,randall@jmgia.com,Workers Compensation,Texas Mutual,2025-11-15,300.0,0.0,Sales Epay 2024 - Sheet1.csv,randall@jmgia.com,Active,0.0
989891001,2024-11-25,$700.00,$0.00,eduardo@jmgia.com,Commercial Auto,Progressive,2025-11-25,700.0,0.0,Sales Epay 2024 - Sheet1.csv,eduardo@jmgia.com,Active,0.0
1000627764241,2024-11-27,$450.00,$0.00,anthony@jmgia.com,General Liability,Btis,2025-11-27,450.0,0.0,Sales Epay 2024 - Sheet1.csv,anthony@jmgia.com,Active,0.0
1000627766241,2024-12-02,$200.00,$0.00,chelsea@jmgia.com,General Liability,Btis,2025-12-02,200.0,0.0,Sales Epay 2024 - Sheet1.csv,chelsea@jmgia.com,Active,0.0
990195039,2024-12-03,$250.00,$0.00,eduardo@jmgia.com,Commercial Auto,Progressive,2025-12-03,250.0,0.0,Sales Epay 2024 - Sheet1.csv,eduardo@jmgia.com,Active,0.0
990175311,2024-12-04,$300.00,$0.00,chelsea@jmgia.com,Commercial Auto,Progressive,2025-12-04,300.0,0.0,Sales Epay 2024 - Sheet1.csv,chelsea@jmgia.com,Active,0.0
50020136601,2024-12-05,$800.00,$0.00,grey@jmgia.com,Commercial Auto,Bolt Insurance,2025-12-05,800.0,0.0,Sales Epay 2024 - Sheet1.csv,grey@jmgia.com,Active,0.0
108150452,2024-12-05,$100.00,$0.00,clint@jmgia.com,Bond,Propeller,2025-12-05,100.0,0.0,Sales Epay 2024 - Sheet1.csv,clint@jmgia.com,Active,0.0
975652449,2024-12-05,$300.00,$0.00,randall@jmgia.com,Commercial Auto,Progressive,2025-12-05,300.0,0.0,Sales Epay 2024 - Sheet1.csv,randall@jmgia.com,Active,0.0
0100339714-0,2024-12-12,$944.94,$887.50,chelsea@jmgia.com,General Liability,USG Insurance,2025-12-12,944.94,0.0,Sales Epay 2024 - Sheet1.csv,chelsea@jmgia.com,Active,0.0
0100339699-0,2024-12-12,$200.00,$100.00,chelsea@jmgia.com,Pollution Liability,USG Insurance,2025-12-12,200.0,0.0,Sales Epay 2024 - Sheet1.csv,chelsea@jmgia.com,Active,0.0
0002120845,2024-12-12,$400.00,$0.00,mark@jmgia.com,Workers Compensation,Texas Mutual,2025-12-12,400.0,0.0,Sales Epay 2024 - Sheet1.csv,mark@jmgia.com,Active,0.0
​0002071771,2024-12-16,$300.00,$0.00,mike@jmgia.com,Workers Compensation,Texas Mutual,2025-12-16,300.0,0.0,Sales Epay 2024 - Sheet1.csv,mike@jmgia.com,Active,0.0
990679658,2024-12-16,$300.00,$0.00,mike@jmgia.com,Commercial Auto,Bolt Insurance,2025-12-16,300.0,0.0,Sales Epay 2024 - Sheet1.csv,mike@jmgia.com,Active,0.0
990658106,2024-12-17,$220.00,$0.00,eduardo@jmgia.com,Commercial Auto,Bolt Insurance,2025-12-17,220.0,0.0,Sales Epay 2024 - Sheet1.csv,eduardo@jmgia.com,Active,0.0
990729256,2024-12-17,$300.00,$0.00,anthony@jmgia.com,Commercial Auto,Bolt Insurance,2025-12-17,300.0,0.0,Sales Epay 2024 - Sheet1.csv,anthony@jmgia.com,Active,0.0
0100340912-0,2024-12-18,$700.00,$500.00,cara@jmgia.com,General Liability,Appalachian Insurance Company,2025-12-18,700.0,0.0,Sales Epay 2024 - Sheet1.csv,cara@jmgia.com,Active,0.0
2088356,2024-12-19,$300.00,$0.00,mike@jmgia.com,Workers Compensation,Texas Mutual,2025-12-19,300.0,0.0,Sales Epay 2024 - Sheet1.csv,mike@jmgia.com,Active,0.0
67070654,2024-12-23,$85.00,$30.00,randall@jmgia.com,Bond,Simple Bonds,2025-12-23,85.0,0.0,Sales Epay 2024 - Sheet1.csv,randall@jmgia.com,Active,0.0
826818,2024-12-27,$147.10,$0.00,randall@jmgia.com,Bond,Bonds Express,2025-12-27,147.1,0.0,Sales Epay 2024 - Sheet1.csv,randall@jmgia.com,Active,0.0
0100343059-0,2024-12-31,$400.00,$525.00,ted@jmgia.com,General Liability,Appalachian Insurance Company,2025-12-31,400.0,0.0,Sales Epay 2024 - Sheet1.csv,ted@jmgia.com,Active,0.0
991284715,2025-01-03,"$1,000.00",$0.00,eduardo@jmgia.com,Commercial Auto,Bolt Insurance,2026-01-03,1000.0,0.0,Sales Epay 2025 - Sheet1.csv,eduardo@jmgia.com,Active,0.0
991537223,2025-01-08,$750.00,$0.00,chelsea@jmgia.com,Commercial Auto,Bolt Insurance,2026-01-08,750.0,0.0,Sales Epay 2025 - Sheet1.csv,chelsea@jmgia.com,Active,0.0
7039143469,2025-01-13,$300.00,$0.00,cara@jmgia.com,General Liability,Btis,2026-01-13,300.0,0.0,Sales Epay 2025 - Sheet1.csv,cara@jmgia.com,Active,0.0
7039141530,2025-01-13,$300.00,$0.00,mike@jmgia.com,Workers Compensation,Btis,2026-01-13,300.0,0.0,Sales Epay 2025 - Sheet1.csv,mike@jmgia.com,Active,0.0
991674832,2025-01-13,$250.00,$0.00,eduardo@jmgia.com,Commercial Auto,Bolt Insurance,2026-01-13,250.0,0.0,Sales Epay 2025 - Sheet1.csv,eduardo@jmgia.com,Active,0.0
0100345376-0,2025-01-14,$600.00,$343.00,mark@jmgia.com,General Liability,Appalachian Insurance Company,2026-01-14,600.0,0.0,Sales Epay 2025 - Sheet1.csv,mark@jmgia.com,Active,0.0
67320038,2025-01-14,$100.00,$34.00,chelsea@jmgia.com,Bond,Simple Bonds,2026-01-14,100.0,0.0,Sales Epay 2025 - Sheet1.csv,chelsea@jmgia.com,Active,0.0
67323401,2025-01-17,$100.00,$23.00,eduardo@jmgia.com,Bond,Simple Bonds,2026-01-17,100.0,0.0,Sales Epay 2025 - Sheet1.csv,eduardo@jmgia.com,Active,0.0
992012633,2025-01-17,$300.00,$0.00,grey@jmgia.com,Commercial Auto,Progressive,2026-01-17,300.0,0.0,Sales Epay 2025 - Sheet1.csv,grey@jmgia.com,Active,0.0
0100347354-0,2025-01-21,$800.00,$500.00,clint@jmgia.com,General Liability,Appalachian Insurance Company,2026-01-21,800.0,0.0,Sales Epay 2025 - Sheet1.csv,clint@jmgia.com,Active,0.0
0100347512-0,2025-01-21,$500.00,$259.90,clint@jmgia.com,Excess,Appalachian Insurance Company,2026-01-21,500.0,0.0,Sales Epay 2025 - Sheet1.csv,clint@jmgia.com,Active,0.0
1000627789251,2025-01-22,$300.00,$0.00,mike@jmgia.com,General Liability,Btis,2026-01-22,300.0,0.0,Sales Epay 2025 - Sheet1.csv,mike@jmgia.com,Active,0.0
0100346681-0,2025-01-22,$600.00,$525.00,mike@jmgia.com,General Liability,Appalachian Insurance Company,2026-01-22,600.0,0.0,Sales Epay 2025 - Sheet1.csv,mike@jmgia.com,Active,0.0
0100348335-0,2025-01-23,$397.00,$387.20,mike@jmgia.com,Excess,ISC Insurance,2026-01-23,397.0,0.0,Sales Epay 2025 - Sheet1.csv,mike@jmgia.com,Active,0.0
966096800,2025-01-29,$300.00,$0.00,randall@jmgia.com,Commercial Auto,Progressive,2026-01-29,300.0,0.0,Sales Epay 2025 - Sheet1.csv,randall@jmgia.com,Active,0.0
108193922,2025-02-05,$200.00,$0.00,eduardo@jmgia.com,Bond,Propeller,2026-02-05,200.0,0.0,Sales Epay 2025 - Sheet1.csv,eduardo@jmgia.com,Active,0.0
0002123228,2025-02-06,$500.00,$0.00,bryan@jmgia.com,Workers Compensation,Texas Mutual,2026-02-06,500.0,0.0,Sales Epay 2025 - Sheet1.csv,bryan@jmgia.com,Active,0.0
0002123408,2025-02-07,$200.00,$0.00,eduardo@jmgia.com,Workers Compensation,Texas Mutual,2026-02-07,200.0,0.0,Sales Epay 2025 - Sheet1.csv,eduardo@jmgia.com,Active,0.0
992862147,2025-02-07,$400.00,$0.00,cara@jmgia.com,Commercial Auto,Progressive,2026-02-07,400.0,0.0,Sales Epay 2025 - Sheet1.csv,cara@jmgia.com,Active,0.0
7039182868,2025-02-10,$300.00,$0.00,chelsea@jmgia.com,Workers Compensation,Btis,2026-02-10,300.0,0.0,Sales Epay 2025 - Sheet1.csv,chelsea@jmgia.com,Active,0.0
12-10804-25044-359361,2025-02-11,$400.00,$0.00,clint@jmgia.com,Workers Compensation,NCCI,2026-02-11,400.0,0.0,Sales Epay 2025 - Sheet1.csv,clint@jmgia.com,Active,0.0
1000627799251,2025-02-11,$600.00,$489.00,clint@jmgia.com,General Liability,Btis,2026-02-11,600.0,0.0,Sales Epay 2025 - Sheet1.csv,clint@jmgia.com,Active,0.0
0100351801-0,2025-02-13,$600.00,$525.00,mike@jmgia.com,General Liability,Appalachian Insurance Company,2026-02-13,600.0,0.0,Sales Epay 2025 - Sheet1.csv,mike@jmgia.com,Active,0.0
0100351301-0,2025-02-14,$137.77,$150.00,bryan@jmgia.com,Excess,Appalachian Insurance Company,2026-02-14,137.77,0.0,Sales Epay 2025 - Sheet1.csv,bryan@jmgia.com,Active,0.0
2058982,2025-02-19,$300.00,$0.00,randall@jmgia.com,Workers Compensation,Texas Mutual,2026-02-19,300.0,0.0,Sales Epay 2025 - Sheet1.csv,randall@jmgia.com,Active,0.0
993471984,2025-02-20,$400.00,$0.00,mike@jmgia.com,Commercial Auto,Progressive,2026-02-20,400.0,0.0,Sales Epay 2025 - Sheet1.csv,mike@jmgia.com,Active,0.0
978061143,2025-02-20,$300.00,$0.00,randall@jmgia.com,Commercial Auto,Progressive,2026-02-20,300.0,0.0,Sales Epay 2025 - Sheet1.csv,randall@jmgia.com,Active,0.0
14-80411-25052-360488,2025-02-21,$300.00,$0.00,eduardo@jmgia.com,Workers Compensation,NCCI,2026-02-21,300.0,0.0,Sales Epay 2025 - Sheet1.csv,eduardo@jmgia.com,Active,0.0
